                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99091,                 2.5752,                0.89974,                0.54992,                0.20837,                0.32956,                 0.2651,                0.71743,                 2.4451,                0.85758,               0.067198,             0.00016484,             0.00016484
                      2,                0.77459,                 1.3818,                0.85622,                0.54603,                0.67884,                0.64673,                0.54977,                0.58864,                 1.0434,                0.82106,               0.034025,             0.00032487,             0.00032487
                      3,                0.69269,                 1.0139,                0.83958,                0.63687,                0.79303,                0.77256,                0.67106,                0.52712,                0.74117,                 0.8108,             0.00084454,             0.00047824,             0.00047824
                      4,                0.65999,                0.84037,                0.83225,                0.79576,                0.86435,                0.89727,                0.79063,                0.50069,                0.65325,                0.80509,                0.00047,                0.00047,                0.00047
                      5,                0.62684,                0.72554,                0.82572,                0.91012,                0.90448,                0.95392,                0.84614,                0.49291,                 0.5588,                0.80453,                0.00047,                0.00047,                0.00047
                      6,                0.61764,                0.64489,                0.82566,                0.94057,                   0.93,                0.97859,                0.87045,                0.47713,                0.48068,                0.80149,                0.00046,                0.00046,                0.00046
                      7,                0.58984,                0.58426,                0.82127,                0.95631,                0.95755,                0.98892,                0.88322,                0.47101,                0.46253,                 0.7997,             0.00045001,             0.00045001,             0.00045001
                      8,                0.57935,                0.55381,                0.82027,                 0.9753,                0.95955,                0.98959,                0.89084,                0.45045,                0.41717,                0.79825,             0.00044001,             0.00044001,             0.00044001
                      9,                0.58901,                0.53099,                0.82131,                0.96366,                0.96114,                0.99083,                0.89403,                 0.4452,                0.41232,                 0.7973,             0.00043001,             0.00043001,             0.00043001
                     10,                0.56949,                0.50723,                0.81747,                0.98084,                0.97034,                0.99235,                0.89877,                 0.4464,                 0.3781,                0.79564,             0.00042001,             0.00042001,             0.00042001
                     11,                0.54387,                0.47695,                0.81532,                0.98038,                0.96737,                0.99202,                 0.9033,                0.42521,                0.36558,                0.79422,             0.00041001,             0.00041001,             0.00041001
                     12,                0.54437,                 0.4766,                0.81362,                0.97602,                0.96758,                  0.991,                0.90004,                0.43275,                0.36529,                0.79421,             0.00040001,             0.00040001,             0.00040001
                     13,                0.53417,                 0.4689,                0.81431,                0.97504,                0.96108,                0.99106,                0.88894,                0.45557,                0.37344,                0.79831,             0.00039001,             0.00039001,             0.00039001
                     14,                0.54109,                0.46102,                0.81362,                0.98408,                0.97008,                 0.9928,                0.90952,                 0.4125,                0.34175,                0.79342,             0.00038001,             0.00038001,             0.00038001
                     15,                0.52083,                0.43787,                 0.8113,                0.98471,                0.97416,                0.99327,                0.90931,                0.41613,                0.33648,                0.79195,             0.00037001,             0.00037001,             0.00037001
                     16,                0.51746,                0.43025,                0.81137,                0.98162,                0.97477,                0.99368,                0.90805,                0.42205,                0.34202,                0.79396,             0.00036001,             0.00036001,             0.00036001
                     17,                0.51796,                0.42597,                0.80963,                 0.9855,                0.98132,                0.99414,                0.90045,                0.42604,                0.33123,                0.79564,             0.00035001,             0.00035001,             0.00035001
                     18,                0.51175,                0.41649,                0.81036,                0.96986,                0.96889,                0.99075,                0.90833,                0.40881,                0.33767,                0.79275,             0.00034002,             0.00034002,             0.00034002
                     19,                0.51064,                0.41253,                0.80863,                0.98249,                0.97974,                0.99397,                0.91079,                0.41597,                0.33786,                0.79382,             0.00033002,             0.00033002,             0.00033002
